danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre_tag,Genre
0.525,0.84,1,-4.21,0,0.037,0.42,1.67e-05,0.361,0.806,136.037,audio_features,0kSUH6KBoUrHWL93j1Lx3h,spotify:track:0kSUH6KBoUrHWL93j1Lx3h,https://api.spotify.com/v1/tracks/0kSUH6KBoUrHWL93j1Lx3h,https://api.spotify.com/v1/audio-analysis/0kSUH6KBoUrHWL93j1Lx3h,183920,4,2,Country
0.596,0.522,9,-6.633,1,0.0358,0.373,0.0,0.291,0.443,76.042,audio_features,3DA4SE262k6rdEtlHteNyq,spotify:track:3DA4SE262k6rdEtlHteNyq,https://api.spotify.com/v1/tracks/3DA4SE262k6rdEtlHteNyq,https://api.spotify.com/v1/audio-analysis/3DA4SE262k6rdEtlHteNyq,188320,4,2,Country
0.499,0.643,11,-5.416,1,0.0354,0.307,0.0,0.106,0.469,93.805,audio_features,6ZU30kIHamg5oiQm4gQQ3A,spotify:track:6ZU30kIHamg5oiQm4gQQ3A,https://api.spotify.com/v1/tracks/6ZU30kIHamg5oiQm4gQQ3A,https://api.spotify.com/v1/audio-analysis/6ZU30kIHamg5oiQm4gQQ3A,201480,4,2,Country
0.73,0.792,6,-5.33,0,0.13,0.0264,0.0,0.101,0.745,99.039,audio_features,6AoHQqGnuwFk9ygWhzLRws,spotify:track:6AoHQqGnuwFk9ygWhzLRws,https://api.spotify.com/v1/tracks/6AoHQqGnuwFk9ygWhzLRws,https://api.spotify.com/v1/audio-analysis/6AoHQqGnuwFk9ygWhzLRws,170158,4,2,Country
0.512,0.58,3,-6.658,0,0.029,0.621,1.72e-05,0.513,0.303,159.847,audio_features,4TCc369aRPRubv1m8R1TBG,spotify:track:4TCc369aRPRubv1m8R1TBG,https://api.spotify.com/v1/tracks/4TCc369aRPRubv1m8R1TBG,https://api.spotify.com/v1/audio-analysis/4TCc369aRPRubv1m8R1TBG,178147,3,2,Country
0.478,0.873,4,-3.637,1,0.122,0.0486,0.0,0.374,0.739,104.365,audio_features,2EzFVkHWMMWmdwW08AlCK8,spotify:track:2EzFVkHWMMWmdwW08AlCK8,https://api.spotify.com/v1/tracks/2EzFVkHWMMWmdwW08AlCK8,https://api.spotify.com/v1/audio-analysis/2EzFVkHWMMWmdwW08AlCK8,155668,4,2,Country
0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,audio_features,5f1joOtoMeyppIcJGZQvqJ,spotify:track:5f1joOtoMeyppIcJGZQvqJ,https://api.spotify.com/v1/tracks/5f1joOtoMeyppIcJGZQvqJ,https://api.spotify.com/v1/audio-analysis/5f1joOtoMeyppIcJGZQvqJ,191406,4,2,Country
0.467,0.795,11,-3.6,1,0.0687,0.102,0.0,0.264,0.472,163.837,audio_features,58jecLK0epwMLr9cy5vFUy,spotify:track:58jecLK0epwMLr9cy5vFUy,https://api.spotify.com/v1/tracks/58jecLK0epwMLr9cy5vFUy,https://api.spotify.com/v1/audio-analysis/58jecLK0epwMLr9cy5vFUy,219354,4,2,Country
0.62,0.776,8,-4.109,1,0.0365,0.358,4.31e-05,0.11,0.551,93.963,audio_features,6QpZSfLid1YZ6c01BvB5jH,spotify:track:6QpZSfLid1YZ6c01BvB5jH,https://api.spotify.com/v1/tracks/6QpZSfLid1YZ6c01BvB5jH,https://api.spotify.com/v1/audio-analysis/6QpZSfLid1YZ6c01BvB5jH,221633,4,2,Country
0.764,0.555,11,-6.414,1,0.0604,0.275,0.0,0.0824,0.255,111.004,audio_features,5mTL8ZHcB2LJdlrR78xJYr,spotify:track:5mTL8ZHcB2LJdlrR78xJYr,https://api.spotify.com/v1/tracks/5mTL8ZHcB2LJdlrR78xJYr,https://api.spotify.com/v1/audio-analysis/5mTL8ZHcB2LJdlrR78xJYr,169227,4,2,Country
0.431,0.831,8,-5.108,1,0.0474,0.0791,0.0,0.312,0.352,167.96,audio_features,54eUv9Q3D9MZuOGS5PSflp,spotify:track:54eUv9Q3D9MZuOGS5PSflp,https://api.spotify.com/v1/tracks/54eUv9Q3D9MZuOGS5PSflp,https://api.spotify.com/v1/audio-analysis/54eUv9Q3D9MZuOGS5PSflp,184893,4,2,Country
0.665,0.524,10,-9.404,1,0.0458,0.502,0.0,0.124,0.215,110.019,audio_features,6Qp1DSekiuxHbFoSsg9JIk,spotify:track:6Qp1DSekiuxHbFoSsg9JIk,https://api.spotify.com/v1/tracks/6Qp1DSekiuxHbFoSsg9JIk,https://api.spotify.com/v1/audio-analysis/6Qp1DSekiuxHbFoSsg9JIk,155822,4,2,Country
0.582,0.868,11,-3.927,1,0.0522,0.146,0.0,0.103,0.555,90.105,audio_features,14JFKtBSqefxfMiKhq6JT8,spotify:track:14JFKtBSqefxfMiKhq6JT8,https://api.spotify.com/v1/tracks/14JFKtBSqefxfMiKhq6JT8,https://api.spotify.com/v1/audio-analysis/14JFKtBSqefxfMiKhq6JT8,179153,4,2,Country
0.537,0.686,5,-5.022,1,0.0293,0.0287,0.00709,0.0988,0.611,78.052,audio_features,47qZzTLLJcuD69AIKnquo4,spotify:track:47qZzTLLJcuD69AIKnquo4,https://api.spotify.com/v1/tracks/47qZzTLLJcuD69AIKnquo4,https://api.spotify.com/v1/audio-analysis/47qZzTLLJcuD69AIKnquo4,190973,4,2,Country
0.509,0.493,0,-6.676,1,0.0266,0.0397,1.32e-06,0.102,0.264,97.846,audio_features,5o6dFqafETxZNqUFt9ZqAC,spotify:track:5o6dFqafETxZNqUFt9ZqAC,https://api.spotify.com/v1/tracks/5o6dFqafETxZNqUFt9ZqAC,https://api.spotify.com/v1/audio-analysis/5o6dFqafETxZNqUFt9ZqAC,173961,4,2,Country
0.57,0.767,10,-4.287,1,0.0331,0.000895,1.18e-05,0.097,0.713,110.995,audio_features,5gRsliQqZLc4tv688SE3wB,spotify:track:5gRsliQqZLc4tv688SE3wB,https://api.spotify.com/v1/tracks/5gRsliQqZLc4tv688SE3wB,https://api.spotify.com/v1/audio-analysis/5gRsliQqZLc4tv688SE3wB,180891,4,2,Country
0.538,0.745,8,-5.774,1,0.0387,0.1,0.0,0.063,0.669,165.755,audio_features,2DwbFtfC6sXBiVDPmju8Dd,spotify:track:2DwbFtfC6sXBiVDPmju8Dd,https://api.spotify.com/v1/tracks/2DwbFtfC6sXBiVDPmju8Dd,https://api.spotify.com/v1/audio-analysis/2DwbFtfC6sXBiVDPmju8Dd,170173,4,2,Country
0.6,0.742,6,-4.135,1,0.0379,0.00716,0.0,0.363,0.796,85.008,audio_features,7IN4uBTZZK2KJ4tjBL44xU,spotify:track:7IN4uBTZZK2KJ4tjBL44xU,https://api.spotify.com/v1/tracks/7IN4uBTZZK2KJ4tjBL44xU,https://api.spotify.com/v1/audio-analysis/7IN4uBTZZK2KJ4tjBL44xU,195187,4,2,Country
0.623,0.79,7,-5.07,1,0.0473,0.118,0.0,0.226,0.694,81.949,audio_features,1irAliF0T8sLIOPJp6n7rU,spotify:track:1irAliF0T8sLIOPJp6n7rU,https://api.spotify.com/v1/tracks/1irAliF0T8sLIOPJp6n7rU,https://api.spotify.com/v1/audio-analysis/1irAliF0T8sLIOPJp6n7rU,187684,4,2,Country
0.583,0.661,9,-4.362,0,0.027,0.436,0.0,0.0923,0.541,112.829,audio_features,7DoUCGBFzVTVfl4Nhl5BZE,spotify:track:7DoUCGBFzVTVfl4Nhl5BZE,https://api.spotify.com/v1/tracks/7DoUCGBFzVTVfl4Nhl5BZE,https://api.spotify.com/v1/audio-analysis/7DoUCGBFzVTVfl4Nhl5BZE,167360,4,2,Country
0.498,0.901,9,-4.372,1,0.0459,0.00626,9.46e-06,0.337,0.809,83.999,audio_features,5UMjPT47GpOwkUo6e99R3s,spotify:track:5UMjPT47GpOwkUo6e99R3s,https://api.spotify.com/v1/tracks/5UMjPT47GpOwkUo6e99R3s,https://api.spotify.com/v1/audio-analysis/5UMjPT47GpOwkUo6e99R3s,216489,4,2,Country
0.426,0.829,9,-2.84,1,0.0569,0.107,0.0,0.317,0.814,180.241,audio_features,5PAvFGse5jjDH9ke8Mae7D,spotify:track:5PAvFGse5jjDH9ke8Mae7D,https://api.spotify.com/v1/tracks/5PAvFGse5jjDH9ke8Mae7D,https://api.spotify.com/v1/audio-analysis/5PAvFGse5jjDH9ke8Mae7D,193880,4,2,Country
0.594,0.6,2,-6.712,1,0.0498,0.306,0.0,0.149,0.5,145.967,audio_features,7Ce11Oh1kConF6UlkBWnaZ,spotify:track:7Ce11Oh1kConF6UlkBWnaZ,https://api.spotify.com/v1/tracks/7Ce11Oh1kConF6UlkBWnaZ,https://api.spotify.com/v1/audio-analysis/7Ce11Oh1kConF6UlkBWnaZ,232165,4,2,Country
0.463,0.71,0,-7.051,1,0.0859,0.148,0.000196,0.123,0.44,78.144,audio_features,226TUHo7YO5d5ceR0sg1aG,spotify:track:226TUHo7YO5d5ceR0sg1aG,https://api.spotify.com/v1/tracks/226TUHo7YO5d5ceR0sg1aG,https://api.spotify.com/v1/audio-analysis/226TUHo7YO5d5ceR0sg1aG,195587,4,2,Country
0.683,0.58,2,-6.864,1,0.0258,0.226,3.4e-06,0.17,0.714,103.056,audio_features,5f9vvN6WCezcHMVreAvR2B,spotify:track:5f9vvN6WCezcHMVreAvR2B,https://api.spotify.com/v1/tracks/5f9vvN6WCezcHMVreAvR2B,https://api.spotify.com/v1/audio-analysis/5f9vvN6WCezcHMVreAvR2B,185748,4,2,Country
